,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
117,leutenberg,nachbar,wär,arbeit,passiert,körperliche,befürchten,gefängnisstrafe,erntedienst,herein,gemustert,betitelt,treppenabsatz,höllisch,traktoren,funktionär,begegnet,argwöhnisch,nähmaschinen,getaugt
118,kartoffelernte,kartoffelfeuer,früher,nationalsozialisten,feiertag,bloße,ideologieverbreitung,erntedankfest,spektakel,hungern,verblasst,massenveranstaltungen,ruß,gigantischen,schälen,asche,reichserntedankfest,kartoffelkraut,ekelt,solange
119,fabrik,arbeitsdienst,wurde,arisiert,munitionsteile,umher,verweigern,weigern,produziert,gehörte,munitionsfabrik,arbeitskraft,mitschuldig,mitschuld,enteignet,raum,antrete,besitzer,helfe,pflicht
120,hose,kleidung,dietrich,marlene,schrecklich,mal,inge,neue,ersten,schön,hosenanzügen,leuchtend,unitag,1930,hosen,blaue,schauspielerin,vorgelesen,vorgenommen,städtisch
121,traute,längsten,kleidungsstil,intelligent,allerschönsten,hamburgerin,schreibstil,mitzumachen,schnauze,echte,konfrontiert,musst,widerstand,besteht,erkannt,hamburger,müsste,höre,trautelafrenz,verschiedene
122,inge,uralte,liebe,zwiste,geburtstagskuchen,pustet,ehrentag,kerze,freut,25,lächelt,bringt,liest,ingescholl,vorstellen,kleinen,geburtstag,beste,trotz,schaut
123,geburtstage,geburtstagsbriefe,schwesterchens,rituale,sehnsüchtig,eigenwilligen,anwesenheit,wartet,aufgaben,geschenk,feste,ankommen,dahin,feiert,fahrt,inge,lieb,freuen,ingescholl,zeigen
124,romantik,brief,matschig,drum,artemowsk,zelte,knien,erstaunlicher,datiert,vorgerückt,rührt,sentimentale,durcheinander,aufzuschlagen,durchgängig,bildlich,ukraine,marsch,geschreibe,100km
125,passierts,träums,herbei,ereignissen,erscheinen,zeichenblock,grammophon,illustriert,träume,riesigen,animierte,zeigt,entfernt,egal,freudig,mitglieder,monaten,animation,wiedersehen,freundschaft
126,ulm,forchtenberg,zuhause,familie,kindheit,verankert,geantwortet,fassaden,schmuckvollen,kommst,großteil,brunnen,archivaufnahmen,kirchen,größer,kehren,bekannter,weltkriegs,münster,gebe
127,verbündete,pfarrer,hirzel,glücklich,hansi,gemeinde,fröhlich,potenzielle,lächelt,tanzt,erzähle,ausgelassen,vorsichtig,flugblättern,meint,tanzen,kamera,gefunden,froh,zimmer
128,pfarrer,hirzel,spendensammeln,eingeladen,fanden,geäußert,meinung,erntedank,geärgert,25,ichs,gefeiert,planen,verstehen,inges,essen,geburtstag,gesagt,schon,hansi
129,hirzel,pfarrer,hansi,umgeschlagen,bildbeschreibungen,provozieren,ängste,ausbaden,weiterkomme,gesteck,melancholie,sitzenden,ungeheim,stoppt,musstens,serviert,zurückziehen,provokationslust,mutter,einladung
130,schlafen,schlafprobleme,richtig,gedankenspirale,wünsch,bekloppter,ausprobieren,gegenteil,schafe,faulenzen,hemmungslos,woran,leidenschaft,fängt,geschlafen,eingesperrt,zeichnen,mitten,kind,mehr
131,mittagsschlaf,illustration,tiefere,höhe,bitter,nötig,irgendeine,erholsam,hochgeschreckt,aufprall,schweißgebadet,fallenden,projekts,falle,schläfchen,wand,bedeutung,erwachsene,aufgewacht,peterpan
132,wendy,pan,peter,kind,anfang,wär,ende,liebling,erwachsensein,angela,tonnenschwere,illustrieren,nennen,fürchterlichen,gebeten,moira,lösung,verantwortungslast,übersetzt,nimmerland
133,landluft,see,kraft,natur,aufführt,krafttanken,krabbelt,nektar,baumstämme,käfer,einatmen,gefehlt,ausatmen,saugt,blüten,kronen,hummel,gibt,unmenschlich,sophie
134,leutenberg,nachbarn,nebenfigur,spion,rodrigo,seidene,verkörpern,leutenbergs,bösartiger,verstecke,claudels,getarnt,leseabend,gitter,perfekt,diener,paul,paulclaudel,schuh,irgendein
135,donau,pause,ulm,weiß,krieg,sonnenschein,unendlichen,kinderzimmer,auszublenden,kirchturm,gedankenspiralen,archiv,straßenbahn,deswegen,hoch,schwenkt,versinken,wunderbar,aufnahme,schwarz
136,fronten,erlebt,erinnere,wussten,bereits,schulfreunde,jüdische,verschwunden,schule,verändert,klassenfoto,klassenkameraden,fliehen,foto,mussten,traurig,gefallen,geschickt,freunde,geben
137,häberle,schnell,kommen,angemerkt,nachgefragt,sonderrationen,wirkte,altebekannte,offenes,reingebeten,freddi,rationen,erkundigt,ohr,volk,gesorgt,redete,wehrmachtsangehörigen,behalten,bestätigt
138,bügelt,sorgen,inge,macht,schüttelt,alkohol,umgang,blusen,stressabbau,besorgtem,sport,trinken,gesicht,gebe,inges,traurig,kopf,werner,gleich,text
139,alten,vorzustellen,nostalgisch,bügeln,geholfen,nimmerland,schulfreunde,beispiel,gestimmt,leider,verblendet,klassenfoto,altes,pan,einschlafen,bekannten,peter,schlechter,gemerkt,fabrikdienst
140,klar,kamera,frau,weiße,sorgen,wurde,blumenmuster,älteren,kehre,verhält,angeschaut,klassenkameradinnen,beizubringen,verbringe,pausen,kissen,niemanden,kandidat,potentieller,türspalt
141,ostfornt,junger,blödsinn,begreifen,tot,unruhig,heldentod,falsch,verdammten,blickt,tränen,trauer,sterben,stirbt,arme,krieg,erfahren,mann,nah,gefallen
142,russland,weißrussland,leiden,fritz,spricht,wehrmacht,schreibt,christoph,passiert,krieg,viele,kriegsdienst,überlebende,kasino,witebsk,verursacht,kommandeur,anrichtet,niedergebrannt,kultur
143,eindruck,stehe,erzähle,fabrikdienst,schrecklich,dachte,fabrik,später,genau,erste,heute,mehr,ichbinsophiescholl,remilitarisierung,reneesintenis,remppis,renée,religiös,rekonstruierbar,rektor
144,wusste,deren,unglaublich,pausenbrot,mechanismus,winzige,stückchen,anfreunde,geteilt,teilarbeit,reagieren,schlaflosen,kolleginnen,zweck,ausgemalt,unbekannt,nächten,leblose,detail,eingerostet
145,genauer,reparieren,vorstellung,kameraden,fritz,zeichnung,animation,brennen,explodieren,nachfragen,fahrzeug,selbstschutz,kriegsgsgeschehen,raucht,auto,wehrmachtsuniformen,autoreifen,schädlich,ausmalen,zivilbevölkerung
146,macht,charakter,großen,teil,raus,ganzen,kleine,ganz,kriegsmaschinerie,erheben,vermeintlich,besiegelt,herr,besseres,teile,mitläufer,genießt,drin,arbeiterin,vorarbeiter
147,stalingrad,propaganda,hinweisen,gerüchte,gewissenhaft,laufenden,schlägt,infrastruktur,wohngebiete,hetzblatt,bombadiert,dazukommen,städtenamen,atlas,informieren,aktuellen,offen,sprache,entschlüsseln,russische
148,markt,woanders,hering,draufsteht,ernährung,einkaufszettel,fleischkotelett,pflaumen,salat,bitte,frischen,einkaufen,nachttisch,gezeichnet,holen,gelegt,kriege,nein,denkt,gesehen
149,eintopf,hausfrau,speck,herbstessen,ersetzen,hausfrauen,zaubert,perfektes,linseneintopf,sonntag,woher,einkauf,kochen,inge,lust,deutschen,images,akg,nehmen,schönen
