,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
175,6jwvpuru_r_tx8lkasj90q,stunden,affe,gemeint,tätigkeit,bewusstsein,ja,dressierter,slawen,rassismus,affen,menschen,russ,niemand,arbeit,rassistische,aenuyml0,6vwxs3gyw,c3d,ließe
176,zweig,stefan,buch,sternstunden,gelesen,schachnovelle,bücher,autor,lesen,toll,ja,seria,humanidade,knpfqtc1gmcke4osozb7yq,atlantik,menschheit,großartiges,rechte,stuart,antoinette
177,qqb3nw09kc6t0gyvv2620a,hirzel,hansi,reps,sabotage,kp8iyh_hv0zzfm,l10ysag,partei,spektrum,l8psgoqdub92po1uiwjuxq,rose,zuzuordnen,pqxz0lp3pydbxu8mntzwpa,defacto,aktionen,flugblätter,sophie,ja,cdu,verfassungsschutz
178,kartoffelsalat,kartoffeln,bratkartoffeln,pommes,essig,öl,mayonnaise,mayo,kartoffelpuffer,kartoffelgratin,kartoffelbrei,pellkartoffeln,sahne,brühe,zwiebeln,quark,salz,ofenkartoffeln,lecker,kartoffel
179,mukke,3rqnyhc3xudcggev9jiv6q,modernisierungen,freudentanz,tanzen,haftbedingungen,liebs,tanzt,besuchen,ausgelassen,tanz,sophie,hübsch,geil,freude,schön,vater,fünf,gefängnis,energie
180,codes,jbldmbbf5noq,tudemunig,0yk,tlpfimk_apippwjscg,m_nkwb8hiiuh9ybqtqr,muth,pxmy193jsel_snac8eqwdw,cq,rollenspiel,code,prägst,drqwrhtue2,aaf1ckrvew,adressliste,russisch,sophie,schlafen,adressbuch,buch
181,mitläufer,friedrich,lina,besuchserlaubnis,passive,mio,zeitung,zurückgenommen,friedrichs,gewährt,frankfurter,erlaubnis,unterstützt,robert,charakter,gefreut,scholl,sieg,rollenbeschreibung,stumpfsinnige
182,arm,füreinander,kummer,trinkt,miteinander,zusammen,esst,guckte,reden,mutter,hilft,tee,nimm,gelben,judenstern,ausgesondert,fest,honigbrot,zeig,auschwitz
183,verkürzt,dienst,h7kmzutymvssnfvg4fw_aw,fabrik,neuigkeiten,anhaltspunkte,freude,ja,selbstaufopferung,feiern,zwangsarbeiterinnen,verkürzung,wurde,spaziergang,eher,strafen,milde,mutter,russin,arbeiterinnen
184,zwangsarbeiter,oma,bptralaay3fjuv_v5kkikq,d54ogspm1bbv7gdj4ys_sw,zwangsarbeit,ludtka,wurde,sabotage,dachau,fabrik,innen,kz,tatakae,cobyhm5nvq1wxw57leyvyg,petr,rüstungsgütern,unterlüß,ca,ausbeutung,zwangsarbeiterinnen
185,geburtstag,hans,gute,alles,glückwunsch,birthday,happy,herzlichen,lieber,wünsche,glück,gesund,hoffe,tag,hallo,komm,verwirklichst,gscheit,abwehrkräfte,vnzia10n0extoaobb1ebwq
186,schwimmen,wasser,ulm,iller,stalingrad,isar,fluss,meer,kinder,c3pf0bad05noyc_rlslf0a,donau,ostsee,liebe,baden,see,sommertage,0p,wek8a_1cmw2onozm3zgtiq,tschenstochau,gjfxj
187,otl,beethoven,inge,postleitzahlen,bach,beruhigt,musik,sophie,song,gyb1c_torhfq3f5h1vh76a,jv43ztdtgqwsvsav87xoqg,birnbäume,geisler,postleitzahl,5skjg6hthcc5tobqkbrqua,vmvenuz380fzch4posakiq,geschwister,komponisten,eifersucht,hast
188,schmerzen,regelschmerzen,endometriose,wärmflasche,schmerzmittel,menstruation,bett,magnesium,periode,frauen,8cxkkjecssbcxht_rzwp9q,hilft,zyklus,7iwybiskzdckdc4fdme0pq,adenomyose,starke,immer,camelia,ibuprofen,ja
189,rollen,knöpfe,räder,edelweißpiraten,sieg,personenzüge,knöpfen,route,strecken,zulassungskarten,kampagne,eingeschränkt,italienischen,rabatte,aufnähen,verballhornungen,pavelic,zyhpdi_sao6wwetjvfxs,autoverkehr,sprichwörter
190,rauchen,wählen,ndcwmrruz7u0khvlajtvtq,sophie,wahl,raucht,geraucht,zigarette,heute,ja,damals,bundestagswahl,stimme,wahlrecht,hätte,weglassen,zigaretten,mehr,wahlen,weggelassen
191,z7fxqafcxxf9,lune,clair,desswegen,notstand,pxn33qliw,lichthof,vision,naiver,traum,hans,gewählt,heute,anklage,schöner,fragtgar,frühstimmt,gezogene,herumwühlten,debussy
192,r5jzx8x79cyflsqo8w062w,a0cvsnrgvxlngpwqkoqzxa,fabrik,afd,umfrage,woche,tagesschau,mehr,g3rw5czwsqhjrslh4r5tvg,rüstungsdienstes,whhaaaat,freitheit,feedpostings,linksrutsch,einfährt,shtml,bt,sophiehabe,rechts,überraschende
193,thomas,träume,fritz,träumen,bauernhof,verbaler,sophie,jijvtcb_rcklbkiq1h0r7q,krieg,leben,t4euhyfqsyif5mgq,9kg0,ubj3dariel5ftvldymok8w,verwerflich,bbc,hühnerfarm,jhg,m9cndcaqv3gsyfjkiymkta,vveckeaurt40ciczslkcxa,schlechten
194,rl4brw1iw1mrhrmhr0vsjq,zwangsarbeiter,fremdarbeiter,frauen,ja,zwangsarbeit,begriff,rüstungsindustrie,begriffe,sophie,ostarbeiter,zivilarbeiter,sprachliche,arbeit,bewusste,euphemismen,radwj,befreiern,pakt,propaganda
195,lied,strophe,verboten,ärger,passt,gedanken,vater,qk3q9rl8e0gfgiikhudcbg,mutig,gesungen,text,passend,üben,lieblingslied,entzwei,vaters,schranken,melodie,vgwtwb0q_04a,hib4mkmha
196,flöte,musizieren,instrument,altflöte,klavierunterricht,xrkobx_ap3x2idoprmj8ga,spielen,vater,klavier,inge,musik,ja,spaß,auschwitz,vermehrter,uipvxudnazdi2i95bq_lkq,lieblingsband,überredungsarbeit,dehmel,kunstmäzenin
197,blockflöte,x1iyn677syvdm7tm9vcula,lied,instrument,frei,spielen,playback,kinderlied,fingerbewegungen,rx36avubtie3tv8attztuq,flöte,gedanken,inge,vater,klavier,bravo,drach,kohlmey,aqz9_u6onkebvth6kobasa,8inu1uf_kv9zkhl3azk6gq
198,konvention,krieg,stalingrad,fritz,feldpost,1929,genfer,briefe,sowjetunion,opa,beruf,kriegsgefangenen,priester,wurden,haag,stichprobenartig,sophie,immer,soldaten,missachtet
199,vater,lied,hört,deportationszüge,hören,oktober,bestimmt,gefangene,inge,hoffe,vermissen,gedanken,füllung,meu,unser_glueckliches_huhn,htmler,generalprobe,gewerkschafterin,postei,zjo7p7ner4uug_3hdf23sw
200,mutig,vater,lied,blockflöte,unendliche,sicherheitsmann,aktion,lachen,verboten,schön,gefängnis,ja,träumten,stege,8f,xiza_63kcxqukw76nda,synchronisiert,einstmals,ihr,flötenspiel
201,juden,deutschen,000,ermordung,de,holocaust,wahlrecht,jüdischen,aktive,rumänien,quellen,gewillt,juliette,tunlichst,kechele,t1trbvdhzjnvlreiamr6dq,loslegen,9fmlvqatla1juzu9gkbhag,gegenüber,perspektive
202,üben,auschwitz,bia,reval,811,toter,oberschlesische,schallen,selektion,014,lebender,flötenkonzert,lettland,feigling,gaskammern,650,deportationszugs,gefängnismauern,313,800
203,frankfurter,zeitung,0itopxxn11pq,lt6pzdnca,journalistin,lina,göring,scholl,reichsmarschall,erntedanktag,gy_mw03x6sdxinrw,schriftleitergesetz,pdm,vater,tonnen,robert,rede,phcl3suz7r1wri6_ndqrug,hungertod,sowjetunion
204,versteck,besserung,schrank,matratze,verstecken,mutter,sg_iazo6qe8uqweh7euo3g,gute,robert,mama,inge,scholl,l8psgoqdub92po1uiwjuxq,ssg45rwdhd6nhwlerlajyg,gesamtdeutsche,cmgguchd7bzzlmaqyhhtng,rhw1swpxxl4adnvqcui7pq,besser,hineinziehen,vgwtwb0q_04a
205,stalingrad,äußersten,lxl8wug71lcxx_1twmpv4g,yk1m9ydw05bzmy2hgygdtw,fritz,russland,winter,krieg,cousin,soldaten,westen,elisabeth,etnukxxklnvkne8gkzg,uz,haag,bauen,anna,mz8brqejf41jen8aquotca,wohlbehalten,q_unyxkadroaqlpmnp4iqq
206,fleisch,hasen,schlachten,tier,essen,schlachtung,tiere,hase,geschlachtet,töten,kaninchen,lebewesen,vegetarier,biologin,vegetarierin,ja,veganerin,1942,svb,schwarzschlachtungen
207,musik,mutlos,yoga,komitees,hilft,einsam,schablone,aufnehmen,natur,belgien,harnack,praktische,hoffnungsvoll,versuche,schreibe,höre,ich,beten,spaziergang,mache
208,vervielfältiger,donau,hansi,hirzel,stadtmauer,schablone,aufnahmen,sophie,hans,4s8mbtrqzn7yzmz2dem46a,f4_yfdoddoixllq,qh1jxn,teamsoffer,geworfen,geruch,ulm,fluss,393,buchstaben,hib4mkmha
209,glvpybbqjri5asepa1np5w,symbolik,antisemitischen,versinkenden,schlingarmen,bezug,victor,klemperer,motiv,em,unheimlichen,passage,bulgarien,sophie,kontexte,zurückdrängung,religião,jmduuypg2752l0hnw1wl1w,globalisten,cristão
210,donau,hansi,geworfen,vervielfältiger,rückschlag,nehmenliebe,qqyz4h2xwvpgddgbdgyiaw,schreckensherrschaft,beschleunigt,mutigste,verschlimmern,schrecklichem,erhellen,erlitten,fund,stalingrad,mut,zusprechen,kämpfen,sehne
211,schroeter,sophie,geht,sdg1h6qbcjduym6u_8vuwa,gedankenstrudel,probleme,4xcpbpufrr1xb,k0yw1gkg,gedanken,besserung,angst,gut,weihnachten,zukunft,spazieren,immer,nimm,normalität,wass,hülfe
